,ID,Name,Location,Grade,Faculty_Title,"Join
Date",Study_Type,Divison,Reports To,"Highest
Qualification
Level",Highest Qualification,Major,University,Courses Taught- Term 201510,MAJOR TEACHING FIELD,Criteria
176,LT9305052,Kris Aslett,Belfast,FA,Faculty - Business,12-Oct-14,Full Time,Business,Rob Jenkins,Masters,Master of Commerce,Finance,Universityersity of the Punjab,"BUS4183 - Corporate Finance
BUS4683 - Middle East Devt. & Logistics
BUS4233 - Financial Assets and Markets
BUS4663 - International Trade",Finance ,Industry and Teaching experience
177,LT9001194,Harold J H Patteson,Belfast,FA,Faculty - Business,11-Feb-07,Full Time,Business,Rob Jenkins,Doctorate,Ph.D in Business Administration,Business Administration,Swiss Management Center,"BUS4283 - Islamic Finance and Banking
BUS4223 - Retail Finance and Banking
LSS2103 - Personal Finance
BUS4263 - Corp Finance and Banking",Finance  or Marketing and General Business ,Industry and Teaching experience
178,LT9000895,Gary Arthur Hughes,Belfast,FA,Faculty - Business,09-Aug-96,Full Time,Business,Rob Jenkins,Masters,Master of Management,Business Management,Birla Institute of Technology and science,"BUS4183 - Corporate Finance
BUS4153 - Financial Accounting II
BUS4113 - Financial Accounting I
BUS3203 - Strat Management Busi Simulation",Management ,Industry and Teaching experience
179,LT0000000,Richard Oyedeji,Belfast,FA,Faculty - Business,14-Aug-16,Full Time,Business,Rob Jenkins,Ph.D,Ph.D in Business Administration,Finance,"Nova Southern Universityersity, USA","Money and Banking, Investment Analysis, Cost Accounting, Financial Management",Business,Industry and Teaching experience
180,LT9000176,Sarah Davies,Glasgow,FA,Faculty - Business,20-Jan-90,Full Time,Business,Sean Woods,Masters,Master of Business Administration,Finance,Universityersity of Leicester,"BUS4143 - IFRS
BUS4173 - Managerial Accounting II
BUS4153 - Financial Accounting II
BUS4113 - Financial Accounting I
BUS4133 - Managerial Accounting I",Accounting or Finance and General Business,Industry and Teaching experience
181,LT9304980,Ryan Chow,Glasgow,FA,Faculty- Business,01-Oct-14,Full Time,Business,Sean Woods,Masters,Master of Business Administration,Executive Business Administration,RMIT Universityersity,"BUS3406  - Work Related Learning
BUS1403 - Business Ethics and Corporate
BUS1203 - Software Apps for Business
BUS4353 - Int Human Resource Management",General Business,Industry and Teaching experience
182,LT9305874,Aldo Schram ,Glasgow,FA,Faculty - Business,18-Jan-15,Full Time,Business,Sean Woods,Masters,Master of Management,International Business,Massey Universityersity,"BUS2403 - Innovation & Entrepreneurship
BUS3406 - Work Related Learning
BUS4373 - Strategic HRM",General Business,Industry and Teaching experience
183,LT9002050,Rina Borda ,Glasgow,FA,Faculty - Business,17-Aug-00,Full Time,Business,Sean Woods,Masters,Master of Education,Education,The Universityersity of Adelaide,"BSD1253 - Arabic Retail Environment
BUS2913 - Sustaining Cultural Identity",General Business,Industry and Teaching experience
184,LT9138114,Dena Odle ,Leeds,FA,Faculty - Business,25-Jan-09,Full Time,Business,Sean Woods,Doctorate,Ph.D in Business Administration,E-Commerce,Northcentral Universityersity,"BUS4163 - Taxation
BUS4353 - Int Human Resource Management
BUS2103 - Operations Management
BUS3203 - Strat Management Busi Simulation",General Business or International Business or E-Business,Industry and Teaching experience
185,LT9251178,Johnie Purtell ,Leeds,FA,Faculty- Business,26-Aug-12,Full Time,Business,Sean Woods,Masters,Master of Business Administration,Business Administration,Roosevelt Universityersity,"BUS3406 - Work Related Learning
LSS2103 - Personal Finance
BUS4323 - Career Development Planning",General Business,Industry and Teaching experience
186,LT9135225,Wai Siemens ,Leeds,FA,Faculty - Business,16-Sep-08,Full Time,Business,Sean Woods,Masters,Master of Business Administration,Business Management,McGill Universityersity,"BUS2203 - Business Stats for Managers
BUS4213 - Financial Quantitative Methods
BUS4513 - Strat Decisions with Management School
BUS4653 - International Marketing",General Business,Industry and Teaching experience
187,LT9160480,Bernadine Carvalho ,Leeds,FA,Faculty - Business,09-Jan-10,Full Time,Business,Sean Woods,Masters,Master of Commerce,Business Marketing,Universityersity of Mumbai (Bombay),"BSD1233 - Ethics in a Retail Environment
BSD1223 - Marketing Principles
BUS1303 - Marketing
BUS4813 - Supply Chain Concept/Practices
BUS4643 - Cross Cultural Management",General Business ,Industry and Teaching experience
188,LT9017832,Ebonie Moak ,Leeds,FA,Faculty - Trainee,01-Sep-14,Full Time,Business,Sean Woods,Bachelor,Bachelor of Applied Science,Business Administration,Kings College London,BSD2213 - Retail Customer Service,Human Resource and Entrepreneurship ,Industry and Teaching experience
189,LT9017549,Owen Dauber ,Leeds,FA,Faculty - Business,19-Feb-12,Full Time,Business,Sean Woods,Bachelor,Bachelor of Applied Science,Information Management,Kings College London,BUS1003 - Management and Leadership,General Business,Industry and Teaching experience
190,LT9017546,Myrtis Cerniglia ,Leeds,FA,Faculty - Trainee,01-Sep-14,Full Time,Business,Sean Woods,Bachelor,Bachelor of Applied Science,Information Management,Kings College London,BSD2023 - Software Applications II,Human Resource Management ,Industry and Teaching experience
191,200008197,Katelyn Hylton ,Leeds,FA,Faculty - Trainee,29-Apr-07,Full Time,Business,Sean Woods,Masters,Master of Science,Organizational Excellence,Loughborough Universityersity,"BUS3003 - Managing People &Organisations
BSD2013 - Introduction to Human Resource",Managing People and Organizations,Industry and Teaching experience
192,LT9134987,Malia Cromley ,Leeds,FA,Faculty - Business,03-Sep-08,Full Time,Business,Sean Woods,Masters,Master of Business Administration,General Management,Manuel L.Quezon Universityersity,"BSD2213 - Retail Customer Service
BUS1003 - Management and Leadership
LSS2103 - Personal Finance
GND1022 - Intro to Community Service
BUS1303 - Marketing",General Business,Industry and Teaching experience
193,LT9051665,Drucilla Moos ,Leeds,FA,Faculty - Trainee,16-Nov-14,Full Time,Business,Sean Woods,Masters,Bachelor of (Applied Science) in Business administration( Human Resources ),Business Administration,Stanford Universityersity,,General Business,Industry and Teaching experience
194,LT9022443,Deane Bagnell ,Leeds,FA,Faculty - Business,27-Aug-05,Full Time,Business,Sean Woods,Masters,Master of Science,Strategic Business and Information Technology,Universityersity of Portsmouth,"BUS3103 - Internat Busi Globalisation
BSD2222 - Retailing Projectect I",General Business or Business Ethics or Human Resource,Industry and Teaching experience
195,LT9134029,Roosevelt Ngo ,Leeds,FA,Faculty - Business,10-Aug-08,Full Time,Business,Sean Woods,Masters,Master of Science,Engineering,Technical Universityersity Denmark,"BUS2003 - Business and Commercial Law
BUS4313 - Empl Relations UAE Labour Law
BSD1243 - Retail Operations
BUS4663 - International Trade",General Business,Industry and Teaching experience
196,LT9160552,Beatriz Zehr ,Leeds,FA,Faculty - Business,10-Jan-10,Full Time,Business,Sean Woods,Masters,Master of Business Administration,Business Administration,Universityersity of Phoenix,"BUS4183 - Corporate Finance
BUS2303 - Financial Management
BUS3406 - Work Related Learning
BUS1503 - Accounting for Managers",General Business,Industry and Teaching experience
197,LT9017604,Glynis Haigh ,Leeds,FA,Faculty - Business,04-Sep-11,Full Time,Business,Sean Woods,Bachelor,Bachelor of Applied Science,Information Management,Kings College London,,General Business,Industry and Teaching experience
198,LT9159154,Joetta Tamayo ,Leeds,FA,Faculty - Business,21-Aug-11,Full Time,Business,Sean Woods,Masters,Master of Business Administration,Management Information System,Arab Academy for Science and Technology,"BUS3913 - Emotional Intelligence for Bus
BUS3406 - Work Related Learning
BSD2033 - Basic Accounting",General Business,Industry and Teaching experience
199,LT9307792,Rheba Kyker ,Leeds,FA,Faculty - Business,22-Feb-15,Full Time,Business,Sean Woods,Masters,Master of Philosophy,Business Management,Cambridge Universityersity,"BUS3003 - Managing People &Organisations
BUS4936 - Integrative Industry Projectect
BUS2903 - Logistics & Supply Chain Mgmnt",Business,Industry and Teaching experience
200,LT0000000,Christel Halls ,Leeds,FA,Faculty - Business,14-Aug-16,Full Time,Business,Chris Peters,Ph.D,Ph.D in Business Administration,Advance Accounting,"Northcentral Universityersity, USA","Financial & Managerial Accounting, Auditing and Advance Accounting",Accounting,Certification
201,LT0000000,Celesta Kinne ,Leeds,FSA,Faculty - Business,14-Aug-16,Full Time,Business,Tony Emmanuel,Ph.D,Ph.D in Business Administration,Management Sciences,"Walden Universityersity, USA",HRM and Management courses,Management,Researcher or Curriculum Development
202,LT9307227,Libbie Thronson ,Bolton,FA,Faculty - Business,29-Jan-15,Full Time,Business,Ian Westwood,Masters,Master of Philosophy,Commerce,Universityersity of Madras,"BUS4183 - Corporate Finance
BUS2303 - Financial Management
BUS3903 - Contemporary Business
BUS3406 - Work Related Learning
BUS4133 - Managerial Accounting I",Accounting & Finance and Business Administration,Industry and Teaching experience
203,LT9160581,Brett Bischof ,Bolton,FA,Faculty - Business,09-Jan-10,Full Time,Business,Ian Westwood,Masters,Bachelor of International Business &Market,International Marketing,The Universityersity of Strathclyde,"BUS2203 - Business Stats for Managers
BUS3003 - Managing People &Organisations
BUS2903 - Logistics & Supply Chain Mgmnt",Business,Industry and Teaching experience
204,LT9300548,Kristopher Raco ,Bolton,FA,Faculty-Business,17-Aug-14,Full Time,Business,Ian Westwood,Masters,Master of Business,Business Management,The Universityersity of Newcastle,"BUS2403 - Innovation & Entrepreneurship
BUS3406 - Work Related Learning
BUS2003 - Business and Commercial Law
BUS1203 - Software Apps for Business
BUS2103 - Operations Management
BUS2903 - Logistics & Supply Chain Mgmnt",Transport and Logistics or Business Administration Management or Software Applications and General Business,Industry and Teaching experience
205,LT9098607,Maricela Burkart ,Bolton,FA,Faculty - Business,29-Aug-07,Full Time,Business,Ian Westwood,Masters,Master of Business Administration,Business Administration,NelsonMandela Metropolitan University,"BUS4956 - Integrative Industry Projectect
BUS3406 - Work Related Learning
BUS4513 - Strat Decisions with Management School
BUS3203 - Strat Management Busi Simulation",Human Resource and General Business,Industry and Teaching experience
206,LT9100760,Tiera Haskin ,Bolton,FA,Faculty - Business,08-Feb-08,Full Time,Business,Ian Westwood,Masters,Mast of Applied Finance,Finance,Macquarie Universityersity,"BUS4563 - Strategic Marketing Management
BUS4513 - Strat Decisions with Management School
BUS1503 - Accounting for Managers
BUS4543 - Quality Management Tools",Business,Industry and Teaching experience
207,LT9328934,Brittny Kratz ,Bolton,FA,Faculty - Business,09-Aug-15,Full Time,Business,Ian Westwood,Masters,Master of Business Administration,Global Human Resource Management,The Universityersity of Liverpool,"BUS2403 - Innovation & Entrepreneurship
BUS4533 - Int'l Quality Management System
BUS1303 - Marketing
BUS2903 - Logistics & Supply Chain Mgmnt",Business,Industry and Teaching experience
208,LT9000683,Brain Sherrill ,Birmingham,FA,Faculty - Business,14-Aug-95,Full Time,Business,Jayne Radford,Masters,Master of Science,Educational Leadership,Universityersity of Leicester,"BUS3003 - Managing People &Organisations
BUS3913 - Emotional Intelligence for Bus",General Business,Industry and Teaching experience
209,LT0000000,Oliva Urman ,Birmingham,FA,Faculty - Business,14-Aug-16,Full Time,Business,Jayne Radford,Ph.D,Ph.D in Business Administration,Economics,"Universityersity of Pretoria, South Africa","Micro and Macroeconomics, Statistics, Econometrics",Economics,Researcher
210,LT0000000,Eneida Gonser ,Birmingham,FA,Faculty - Business,14-Aug-16,Full Time,Business,Jayne Radford,Ph.D,Ph.D in Business Administration,Management Information System,"Argosy Universityersity, USA","Datbase Programming, Business Intelligence, System Analysis",Management Information System,Industry and Teaching experience
211,LT9284583,Kary Florian ,Oxford,FA,Faculty - Trainee,04-May-14,Full Time,Business,Jayne Radford,Bachelor,Bachelor of Business Administration,Statistics,Kent Universityersity,Faculty Trainee/MBA in Progress,General Business,Trainee
212,LT9126903,Shana Quayle ,Oxford,FA,Faculty - Trainee,06-Apr-14,Full Time,Business,Jayne Radford,Bachelor,Bachelor of Applied Science,Business Administration,Harvard Universityersity,Faculty Trainee/MBA in Progress,General Business,Trainee
213,LT9307268,Camellia Ovellette ,Oxford,FA,Faculty - Business,01-Feb-15,Full Time,Business,Jayne Radford,Doctorate,Ph.D in Business Administration,Commerce,Oxford Universityersity,"BUS4623 - International Business Finance
BUS2303 - Financial Management
BUS4163 - Taxation
BUS4133 - Managerial Accounting I",Accounting,Industry and Teaching experience
214,LT9001277,Kimber Upshaw ,Oxford,FA,Faculty - Business,16-Aug-09,Full Time,Business,Jayne Radford,Doctorate,Ph.D in Business Administration,Social Science,Tilburg Universityersity,"BUS3406 - Work Related Learning
BUS3203 - Strat Management Busi Simulation
BUS4343 - Training and Development",General Business or Human Resource,Industry and Teaching experience
215,LT9211510,Thelma Smock ,Oxford,FA,Faculty - Business,05-Feb-13,Full Time,Business,Jayne Radford,Masters,Master of Business Administration,Strategic Management,Higher Colleges of Technolgy,BUS3003 - Managing People &Organisations,General Business or Accounting or Statistics,Industry and Teaching experience
216,LT9001641,Brendon Devita ,Oxford,FA,"Faculty - Business, Comp & Math",31-Jan-99,Full Time,Business,Jayne Radford,Masters,Master of Commerce,Marketing,Universityersity of New South Wales,"BUS4966 - Integrative Industry Projectect
BUS1303 - Marketing
BUS2913 - Sustaining Cultural Identity",General Business or Marketing,Industry and Teaching experience
217,LT9059323,Awilda Blaise ,Oxford,FA,Faculty - Business,01-Apr-07,Full Time,Business,Jayne Radford,Masters,Master of Business Administration,Strategic Management,Harvard Universityersity,"BUS2003 - Business and Commercial Law
BUS1003 - Management and Leadership",General Business,Industry and Teaching experience
218,LT9160531,Tynisha Hamernik ,Oxford,FA,Faculty - Business,10-Jan-10,Full Time,Business,Jayne Radford,Masters,Master of Business Administration,Business Administration,Troy Universityersity,"BUS1403 - Business Ethics and Corporate
LSH2143 - Leadership Communication
BUS4643 - Cross Cultural Management",General Business Management,Industry and Teaching experience
219,LT9304442,Heriberto Milholland ,Oxford,FA,Faculty - Business,21-Sep-14,Full Time,Business,Jayne Radford,Doctorate,Ph.D in Business Administration,Marketing,Universityersity of Alberta,"BUS3103 - Internat Busi Globalisation
BUS1103 - Economics for Managers
BUS1303 - Marketing",General BusinessorManagement-Marketing,Industry and Teaching experience
220,LT9304975,Luise Hagwood ,Oxford,FA,Faculty - Business,13-Oct-14,Full Time,Business,Jayne Radford,Doctorate,Ph.D in Business Administration,Business Administration,Batangas State Universityersity,"BUS4683 - Middle East Devt. & Logistics
BUS4563 - Strategic Marketing Management
BUS1003 - Management and Leadership
BUS1303 - Marketing",Managemment,Industry and Teaching experience
221,LT9127072,Deandra Evensen ,Oxford,FA,Faculty - Trainee,06-Apr-14,Full Time,Business,Jayne Radford,Bachelor,Bachelor of Applied Science,Business Administration,Harvard Universityersity,Graduate Trainee/MBA in Progress,General Business,Industry and Teaching experience
222,LT9061279,Leopoldo Helsel ,Oxford,FA,Faculty - Business,07-Jan-07,Full Time,Business,Jayne Radford,Masters,Master of Business Administration,Strategic Management,Harvard Universityersity,"BUS2403 - Innovation & Entrepreneurship
BUS1303 - Marketing",General Business,Industry and Teaching experience
223,LT9062712,Jerome Lansing ,Oxford,FA,Faculty - Business,28-Mar-07,Full Time,Business,Jayne Radford,Masters,Master of Business Administration,Business Administration,York Universityersity,"BUS4533 - Int'l Quality Management System
BUS4673 - International Law
BUS1503 - Accounting for Managers",General Business,Industry and Teaching experience
224,LT9301293,Venita Defelice ,Oxford,FA,Faculty - Business,17-Aug-14,Full Time,Business,Jayne Radford,Masters,Master of Business Administration,Innovative Management,Coventry Universityersity,"BUS2203 - Business Stats for Managers
BUS4183 - Corporate Finance
BUS4113 - Financial Accounting I",Accounting and Finance Management,Industry and Teaching experience
225,LT0000000,Werner Zirkle ,Oxford,FA,Faculty - Business,14-Aug-16,Full Time,Business,Jayne Radford,Ph.D,Ph.D in Business Administration,Business Management,"Universityersity of Nice, France","Leadership, Intro to HRM, Performance Management, Organizational Behaviour",Management and Human Resource Management,Researcher
226,LT0000000,Crystle Lamay ,Oxford,FA,Faculty - Business,14-Aug-16,Full Time,Business,Jayne Radford,Ph.D,Ph.D in Business Administration,Business Management,"Tbilisi State Universityersity, Georgia ","International Business, strategic Management, Training & Development, Leadership",Management and Human Resource Management,Industry and Teaching experience
227,LT0000000,Farah Linneman ,Oxford,FA,Faculty - Business,14-Aug-16,Full Time,Business,Jayne Radford,Ph.D,Ph.D in Business Administration,Organization and Management,"Capella Universityersity, USA ","HRM, strategic Staffing, Compensation and Benefit, International HRM ",Human Resource Management,Certification or Curriculum Development
228,LT0000000,Shenita Rimes ,Oxford,FA,Faculty - Business,14-Aug-16,Full Time,Business,Jayne Radford,Ph.D,Ph.D in Business Administration,Business Leadership ,"Grenoble Ecole de Management, France","Supply Chain, Operations Management, Entrepreneurship ",Management ,Industry and Teaching experience
229,LT0000000,Assunta Batchelor ,Oxford,FA,Faculty - Business,14-Aug-16,Full Time,Business,Jayne Radford,Ph.D,Ph.D in Business Administration,Accounting & Finance ,"Universityersitidad Azteca, Mexico",Accounting and Finance courses,Accounting & Finance,Researcher
230,LT0000000,Carrie Keasler ,Oxford,FA,Faculty - Business,14-Aug-16,Full Time,Business,Jayne Radford,Ph.D,Ph.D in Business Administration,Human Resource and Organizational Behaviour ,"Cardiff Metropolian Universityersity, UK","HRM, Corporate Strategy, Business Strategy",Human Resource Management,Researcher
231,LT9001206,Twanda Chumbley ,Southampton,FA,Faculty - Business,09-Aug-97,Full Time,Business,Ian Westwood,Masters,Master of Business Administration,Business Administration,The Waikato Universityersity,"BUS3103 - Internat Busi Globalisation
BUS3903 - Contemporary Business
BUS3406 - Work Related Learning
BUS4113 - Financial Accounting I
BUS4123 - Auditing
BUS4163 - Taxation
BUS1503 - Accounting for Managers",Accounting and General Business,Industry and Teaching experience
232,LT9305072,Klaus Pontius ,Southampton,FA,Faculty - Business,19-Oct-14,Full Time,Business,Ian Westwood,Masters,Master of Business Administration,Business Administration,Open Universityersity,"BUS4583 - ISO Standards and Excellence
BUS4553 - Strategic Supply Chain Managem
BUS4563 - Strategic Marketing Management
BUS3406 - Work Related Learning
BUS4573 - Advanced Strategic Management
BUS1403 - Business Ethics and Corporate
BUS2103 - Operations Management",OBor Human Resource Or MOTor General Management,Industry and Teaching experience
233,LT9300994,Roselyn Paulos ,Southampton,FA,Faculty - Business,17-Aug-14,Full Time,Business,Ian Westwood,Masters,Master of Business Administration,Business Administration,Yarmouk Universityersity,"BUS4956 - Integrative Industry Projectect
BUS3406 - Work Related Learning
BUS1003 - Management and Leadership
BUS4373 - Strategic HRM
BUS2903 - Logistics & Supply Chain Mgmnt",Business AdministrationorStrategic Managementororoduction operation,Industry and Teaching experience
234,LT9329697,Celina Huls ,Leicester,FA,Faculty - Business,11-Aug-15,Full Time,Business,Betty Adewuyi,Masters,Master of Business Administration,Business Administration,Universityersity of Saskatchewan,"BUS2003 - Business and Commercial Law
BUS1403 - Business Ethics and Corporate",Business,Industry and Teaching experience
235,LT9004790,Eleonora Banas ,Leicester,FA,Faculty - Business,06-Feb-04,Full Time,Business,Betty Adewuyi,Masters,Master of Business Administration,E-Commerce,The Universityersity of Kent,"BUS2203 - Business Stats for Managers
BUS3903 - Contemporary Business
BUS4513 - Strat Decisions with Management School",Management,Industry and Teaching experience
236,LT9301247,Luetta Rittenhouse ,Leicester,FA,Faculty - Business,17-Aug-14,Full Time,Business,Betty Adewuyi,Doctorate,Ph.D in Business Administration,Business Management,Banasthali Vidyapith,"BUS3003 - Managing People &Organisations
BUS1003 - Management and Leadership
BSD2013 - Introduction to Human Resource
BUS4373 - Strategic HRM",Human Resource and Management,Industry and Teaching experience
237,LT9309282,Yanira Kreger ,Leicester,FA,Faculty - Business,01-Apr-15,Full Time,Business,Betty Adewuyi,Masters,Master of Commerce,Advanced Info Systems and Management,Universityersity of New South Wales,"BUS4533 - Int'l Quality Management System
BUS4543 - Quality Management Tools
BUS1303 - Marketing",Business,Industry and Teaching experience
238,LT9231283,Matt Slovak ,Leicester,FA,Faculty - Business,29-Jan-12,Full Time,Business,Betty Adewuyi,Masters,Master of Business Administration,Human Resource Management,Universityersity of Western Sydney,"BUS4553 - Strategic Supply Chain Managem
BUS2903 - Logistics & Supply Chain Mgmnt
BUS2103 - Operations Management",Projects Management or Logistics & Supply Chain Management,Certification
239,LT9236711,Beulah Amey ,Leicester,FA,Faculty - Business,12-Feb-12,Full Time,Business,Betty Adewuyi,Masters,Master of Arts,Marketing Management,Universityersity of Derby,"BUS1303 - Marketing
BUS3203 - Strat Management Busi Simulation",Marketing Management & Hospitality,Industry and Teaching experience
240,LT9001804,Erika Ridge ,Leicester,FA,Faculty - Business & Comp Lit.,14-Aug-99,Full Time,Business,Betty Adewuyi,Masters,Master of Education Technology,Educational Technology,University of Southern Queensland,"BUS4153 - Financial Accounting II
BUS4113 - Financial Accounting I
BUS1503 - Accounting for Managers",Accounting,Industry and Teaching experience
241,LT9301281,Lizette Rouillard ,Leicester,FA,Faculty - Business,17-Aug-14,Full Time,Business,Betty Adewuyi,Masters,"Master of Business Administration, Business Philosophy",Business Administration,Maastricht School of Management,"BUS3406 - Work Related Learning
BUS4573 - Advanced Strategic Management
BSD2222 - Retailing Projectect I
BSD2067 - Business Work Placement
BUS2103 - Operations Management",Business Administration ,Industry and Teaching experience
242,LT9308980,Lynn Lightle ,Leicester,FA,Faculty - Business,15-Mar-15,Full Time,Business,Betty Adewuyi,Doctorate,Ph.D in Business Administration,Business Management,Royal Melbourne Institute of Technology,"BUS3003 - Managing People &Organisations
BUS1203 - Software Apps for Business",Business,Industry and Teaching experience
243,LT9328815,Shon Agena ,Leicester,FA,Faculty - Business,09-Aug-15,Full Time,Business,Betty Adewuyi,Ph.D,Doctorate in Business Administration,Business Administration,London South Bank Universityersity,"BUS2303 - Financial Management
BUS4123 - Auditing",Business,Industry and Teaching experience
244,LT9257386,Alfonso Spina ,Leicester,FA,Faculty - Business,27-Jan-13,Full Time,Business,Olu Ebenezer,Masters,Master of Business Administration,Law,E�tv�s Lor�nd Universityersity,"BUS4313 - Empl Relations UAE Labour Law
BUS2003 - Business and Commercial Law
BUS4673 - International Law",Business Law,Industry and Teaching experience
245,LT9301614,Lizzie Gomez ,Leicester,FA,Adjunct Faculty - Business,23-Aug-15,Full Time,Business,Olu Ebenezer,Masters,Master of Business Administration,Business Administration,,BSD2033 - Basic Accounting,Finance and Accounting,Industry and Teaching experience
246,LT9217802,Lahoma Baumgarten ,Leicester,FA,Faculty - Business,14-Aug-11,Full Time,Business,Olu Ebenezer,Masters,Master of Teaching,Education,Universityersity of London,"BUS2403 - Innovation & Entrepreneurship
BUS4563 - Strategic Marketing Management
BSD2252 - Retailing Projectect II",Entrepreneurship,Industry and Teaching experience
247,LT0000000,Hermila Dailey ,Leicester,FA,Faculty - Business,14-Aug-16,Full Time,Business,Betty Adewuyi,Ph.D,Ph.D in Business Management,Accounting,"Philippine Christian Universityersity, UAE","Managerial Accounting, Taxation, Performance Management",Accounting,Certification
248,LT0000000,Kali Tarrant ,Leicester,FA,Faculty - Business,14-Aug-16,Full Time,Business,Betty Adewuyi,Ph.D,Ph.D in Business Administration,Accounting,"Amman Arab Universityersity, Jordan",Accounting and Auditing courses,Accounting & Auditing,Certification
249,LT0000000,Edda Hoggard ,Leicester,FA,Faculty - Business,14-Aug-16,Full Time,Business,Betty Adewuyi,Ph.D,Ph.D in Business Administration,Accounting,"Panteion Universityersity, Greece","Finance & Financial Markets, Audit and Internal Controls, International Finance,.",Accounting & Finance ,Industry and Teaching experience
250,LT9231160,Tianna Simmons ,Cambridge,FA,Faculty - Business,14-Aug-11,Full Time,Business,Betty Adewuyi,Masters,Master of Business Administration,Business Management,Universityersity of Santo Tomas,"BUS3903 - Contemporary Business
BUS3406 - Work Related Learning
BUS3003 - Managing People &Organisations
BUS1003 - Management and Leadership",Economics,Industry and Teaching experience
251,LT9301291,Nathan Vaccaro ,Cambridge,FA,Faculty - Business,12-Oct-14,Full Time,Business,Betty Adewuyi,Masters,Master of Business Administration,Business Administration,Universityersity of Western Ontario,"BUS4143 - IFRS
BUS4173 - Managerial Accounting II
BSD2043 - Practical Accounting
BUS4123 - Auditing
LSS2103 - Personal Finance",Accounting,Industry and Teaching experience
252,LT9133435,Phylicia Bodkin ,Cambridge,FA,Faculty - Business,02-Aug-08,Full Time,Business,Betty Adewuyi,Masters,Master of Business Administration,Business Administration,American Universityersity of Beirut,"BUS4163 - Taxation
BUS4133 - Managerial Accounting I",Accounting,Industry and Teaching experience
253,LT9328806,Dell Rosenburg ,Cambridge,FA,Faculty - Business,09-Aug-15,Full Time,Business,Betty Adewuyi,Masters,Master of Public Relations and Press Office Management,Business Administration,�Universityersitat Aut�noma de Barcelona,"BSD2263 - Socially Responsible Retailing
BUS1303 - Marketing",Business,Industry and Teaching experience
254,LT9010813,Vertie Mcinnis ,Cambridge,FA,Faculty - Business,14-Aug-04,Full Time,Business,Betty Adewuyi,Masters,Master of Science,Tourism Tourist and Hotel Management,Alexandria Universityersity,"BUS3103 - Internat Busi Globalisation
BUS2913 - Sustaining Cultural Identity",Management,Industry and Teaching experience
255,950001122,Dian Edgington ,Cambridge,FA,Faculty - Trainee,25-May-14,Full Time,Business,Betty Adewuyi,Bachelor,Bachelor of Applied Science,Business Administration,Dubai Women's College,,Business,Industry and Teaching experience
256,LT9157057,Evette Pinion ,Cambridge,FA,Faculty - Business,01-Aug-09,Full Time,Business,Olu Ebenezer,Masters,Master of Business Administration,Business Administration,The University. of Western Australia,"BUS4383 - Performance Management
BUS1203 - Software Apps for Business
BUS3203 - Strat Management Busi Simulation",Management,Industry and Teaching experience
257,LT9278023,Tosha Dudash ,Cambridge,FA,Faculty - Business,18-Aug-13,Full Time,Business,Olu Ebenezer,Masters,Master of Business Administration,Business Administration,Universityersity of Huddersfield,"BUS2403 - Innovation & Entrepreneurship
BUS2003 - Business and Commercial Law
BUS2103 - Operations Management",Operations Management,Industry and Teaching experience
258,LT9280275,Aretha Platter ,Cambridge,FA,Adjunct Faculty - Business,23-Aug-15,Full Time,Business,Olu Ebenezer,Masters,Master of Business Administration,Business Administration,,BUS1503 - Accounting for Managers,Business,Industry and Teaching experience
259,LT9001889,Concha Britto ,Cambridge,FA,Adjunct Faculty - Business,23-Aug-15,Full Time,Business,Olu Ebenezer,Masters,Master of Business Administration,Business Administration,,BUS1203 - Software Apps for Business,Computing or Business,Industry and Teaching experience
260,LT9257800,Akiko Coker ,Cambridge,FA,Faculty - Business,23-Feb-13,Full Time,Business,Olu Ebenezer,Masters,Master of Business Administration,Business Administration,Chifley Business School,"BUS3103 - Internat Busi Globalisation
BUS3406 - Work Related Learning
BUS1303 - Marketing",Marketing,Industry and Teaching experience
261,LT9282786,Christin Lytton ,Cambridge,FA,Adjunct Faculty - Business,23-Aug-15,Full Time,Business,Olu Ebenezer,Masters,Master of Philosophy (Economics),Business Administration,Universityersity of Madras,"BSD2033 - Basic Accounting
BUS1503 - Accounting for Managers",Management,Industry and Teaching experience
262,LT9272805,Hyon Leal ,Cambridge,FA,Faculty - Business,18-Aug-13,Full Time,Business,Olu Ebenezer,Masters,Master of Business Administration,Risk Management and Finding Solution Analysis,Universityersity College Dublin,"BUS4623 - International Business Finance
BUS4183 - Corporate Finance
BUS4916 - Integrative Industry Projectect",Finances,Industry and Teaching experience
263,LT9328998,Samuel Hilburn ,Cambridge,FA,Faculty - Business,09-Aug-15,Full Time,Business,Olu Ebenezer,Ph.D,Doctorate in Business Administration,Business Administration,Case Western Reserve University,"BUS4683 - Middle East Devt. & Logistics
BUS2203 - Business Stats for Managers",Business,Industry and Teaching experience
264,LT9020241,Ingrid Dehaan ,Cambridge,FA,Faculty - Trainee,19-May-14,Full Time,Business,Olu Ebenezer,Bachelor,Bachelor of Applied Science,eBusiness Management,Sharjah Women's College,"BSD2263 - Socially Responsible Retailing
BUS2913 - Sustaining Cultural Identity
BUS4343 - Training and Development",Management,Industry and Teaching experience
